variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M661.786T423_1	c18hyper	M661.786T423_1	661.785980789424	423.097212752261		[M+H]+ 660.777 [2M+3H]3+ 991.161	36	NA															661.78259461552	661.787893489045	420.729561184248	425.398091699659	41	29	12	0	0.0177994251974426	0.201246167567426	0.280148074391247	0.98221572246848	1.3599258562655e-08	41454.6169186193	0		
M661.8418T423_2	c18hyper	M661.8418T423_2	661.841760008766	423.243149138652		[M+H]+ 660.83	36	NA															661.838185905435	661.843492600772	421.929208873586	427.30338103659	49	33	16	0	0.0129796096365254	0.274481209288489	0.406331612997124	0.96260092632482	5.4111552841997e-07	49135.6902759771	0		
M661.8844T369_6	c18hyper	M661.8844T369_6	661.884430783342	369.347048170046		[M+Na]+ 638.901	75	NA															661.880681606147	661.88784448849	368.392328841542	370.012300457071	63	42	21	0	0.00161197539799677	0.123617105592007	0.408575175908182	0.958698346737644	8.82988949104086e-07	297175.769837921	0		
M661.8976T423_3	c18hyper	M661.8976T423_3	661.897562498119	423.322996657455		[M+H]+ 660.89 [2M+3H]3+ 991.332	36	NA															661.893419928492	661.900650918873	422.023987277259	425.486301206653	43	30	13	0	0.0417552397140475	0.212434627429776	0.3040385078466	0.936464383139031	7.32459742770336e-06	53053.2616111908	0		
M661.9404T255_2	c18hyper	M661.9404T255_2	661.940432264761	254.533398608498		[M+H]+ 660.927	50	NA															661.936548141784	661.942879031464	253.081297060616	256.096208958856	61	42	19	0	0.000102277970352201	0.145383217490484	0.797304241128192	0.949523443849701	2.37032431087795e-06	9797.35960304476	0		
M661.9513T369_7	c18hyper	M661.9513T369_7	661.951319291098	369.32909374324		[M+H+NH3]+ 643.915	75	NA															661.947016442594	661.952871509816	368.443915786437	370.030377177686	59	42	17	0	0.00180825723383802	0.148808685946357	0.506470193372661	0.926831772771629	1.4593253368817e-05	199340.453461486	0		
M662.0088T423_5	c18hyper	M662.0088T423_5	662.008803745789	423.097212752261		[M+H]+ 660.999	36	NA															662.004845407331	662.011365950236	421.807526992809	425.564518713892	41	27	14	0	0.0392842988577641	0.18572819223914	0.282491272812865	0.972977085524057	1.08455199309592e-07	38146.7366675337	0		
M662.018T369_8	c18hyper	M662.018T369_8	662.01804571457	369.394100874057			75	NA															662.013988983323	662.021996363352	368.392328841542	370.200192504368	62	42	20	0	0.00136904416994328	0.128622530650379	0.437270266633642	0.948948983311047	2.50586216263989e-06	122575.892323531	0		
M662.0644T423_6	c18hyper	M662.0644T423_6	662.064437884203	423.115937943572		[M+H]+ 661.055	36	NA															662.060931221619	662.067029332049	422.302319813962	432.038084103523	40	27	13	0	0.0545137377979183	0.187705242173075	0.265415493676222	0.95762885858805	1.00157222352549e-06	29894.0515390856	0		
M662.0849T369_9	c18hyper	M662.0849T369_9	662.084863341625	369.394100874057			75	NA															662.08131690685	662.087361857561	368.443915786437	370.200192504368	58	40	18	0	0.00127548903586833	0.139652031187267	0.51496059605387	0.921841109456682	2.01239045005384e-05	71701.0067140455	0		
