variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M272T522	M272.0892T522	272.089226910828	272.088803241816	272.090265708442	522.053101350999	521.340208439026	523.458002255514	63	42	21	0	[340][M]-	[M-H]- 273.099	12													
M272T209	M272.1507T209	272.150675248521	272.150403307021	272.151537109619	209.295944845584	202.544128842735	211.789486546785	41	30	11	0			6													
M272T81	M272.2318T81	272.23182249603	272.231500181122	272.232728743577	80.8638857643593	78.9400932060438	83.1003702217202	47	28	16	3	[338][M+1]-		348													
M273T608	M272.5846T608	272.584627171711	272.584189999451	272.585641537551	608.047296880828	605.68281474007	609.908110926922	56	37	19	0	[339][M+1]2-		18													
M273T704	M272.8836T704	272.883616308987	272.883242077723	272.884658929783	703.566889575165	681.487664001792	728.728572915999	64	37	21	3			31													
M273T601	M272.9053T601	272.905325383034	272.905266230004	272.906239825123	600.896003988654	600.106704161459	603.138704607598	3	0	0	3			1130													
M273T1001	M272.9222T1001	272.922166667042	272.921694638374	272.923129291105	1000.60055554595	998.451353105463	1013.14521072284	64	42	21	1	[341][M]-	[M-H]- 273.929	30													
M273T887	M272.9222T887	272.922176409076	272.921741052027	272.923212318402	886.777416406345	866.774356054138	894.944254032331	69	42	21	3		[M-H]- 273.929	49													
M273T676	M272.9926T676	272.992619068265	272.99218805354	272.993702294108	675.889416250414	674.054420155248	677.936229930384	63	42	21	0		[M-H-C4H8]- 330.06	37													
M273T598	M273.0022T598	273.002150943039	273.001708483549	273.00337831456	597.572370074437	596.748582485356	598.349063729812	61	41	20	0		[M+Cl]- 238.033 [M-H]- 274.009	26													
M273T446_1	M273.0078T446_1	273.007804947753	273.00727874912	273.008776614365	445.77824162024	444.165896305618	446.811288737137	60	39	21	0		[M+Cl]- 238.038	5													
M273T446_2	M273.0263T446_2	273.026324160475	273.026153122529	273.027135973484	446.002638396329	445.353069798402	447.156102097524	3	0	0	3			521													
