variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M184T95	M184.098T95	184.097988487046	184.097702316514	184.09836285182	95.1615540557843	93.2281881275179	100.207297726077	66	24	0	42		[M-H-C5H8O4]- 317.141	22													
M184T129	M184.0982T129	184.098225046216	184.097947021948	184.098567707128	129.403902098072	126.100579240959	130.398595949305	56	21	0	35			35													
M185T364	M184.8231T364	184.82312255365	184.822884849448	184.82351625796	363.971947513275	354.711327815644	378.12423430586	72	24	0	42		[2M-2H+Na]- 81.9232	31													
M185T1030	M184.9087T1030	184.908650831243	184.908370620318	184.909029808841	1029.74362877453	1028.28395133079	1031.22310307998	62	21	0	41		[M+Cl]- 149.935	24													
M185T1024	M184.9297T1024	184.929705160521	184.929429596375	184.930077592742	1024.47979709172	1023.19649648026	1030.11892441516	66	24	0	42	[165][M+2]-		24													
M185T1026	M184.9472T1026	184.947223921628	184.946695510581	184.947539911337	1025.95027237594	1024.20173552455	1031.42481629872	67	24	1	42		[2M-2H+Na]- 81.991 [M+Cl+NaCOOH]- 81.991 [2M-2H+Na]- 81.991 [M+Cl+NaCOOH]- 81.991	24													
M185T375	M184.9457T375	184.945743333405	184.945506349416	184.946134514592	374.527556631172	372.874904654321	376.466048392521	62	21	0	41			32													
M185T1218	M184.9682T1218	184.968207994108	184.96795067262	184.968583222315	1217.86123930558	1205.93299727498	1223.10702625042	66	24	0	42		[3M-H+Cl]2- 112.003	33													
M185T1007	M184.9682T1007	184.968245284508	184.96796822447	184.96857363528	1007.18790026494	997.260316106163	1008.64332598314	64	22	0	42			13													
M185T986	M184.9682T986	184.968239299826	184.967693060837	184.968587159237	986.166421210246	984.588288272972	995.752189826844	60	19	1	40	[166][M]-		13													
M185T11	M184.9682T11	184.968165734353	184.967695592674	184.968575765482	11.3056943706926	6.08244646350197	24.8342636191479	61	20	1	40		[M-H]- 185.974	62													
M185T890	M184.9682T890	184.968225782781	184.967953839909	184.96857776063	890.449736777427	872.368485404614	897.930107441661	67	23	0	41			582													
M185T56	M184.9682T56	184.968155597957	184.967689946041	184.968565198787	55.8214938881782	38.2349467044009	61.5419218020952	59	22	1	34		[2M-2H+Na]- 81.9935 [2M-2H+Na]- 81.9935	57													
M185T687	M184.9682T687	184.968223046828	184.96796171898	184.968557821245	686.823770468775	669.678048665318	694.928040030826	55	18	0	37			516													
M185T1146	M184.9682T1146	184.968191280289	184.96792810886	184.968579993929	1146.16965135934	1128.47228241905	1153.22930209643	48	20	0	28		[M-H]- 185.977	37													
M185T1321	M184.9682T1321	184.968178270699	184.967942424412	184.968566555649	1321.18603240401	1304.51944075066	1340.73872314324	62	17	0	37			54													
M185T734	M184.9682T734	184.9682239668	184.967960590397	184.968543957964	734.361833561036	714.071395430977	762.331521081568	62	15	0	30			603													
M185T1356	M184.9682T1356	184.968185540487	184.967906502812	184.968585956997	1355.76455584408	1341.33147427272	1373.63241561224	46	18	0	25			778													
M185T581	M184.9859T581	184.985860323052	184.985597358124	184.986224657525	580.999263171946	579.87131147705	582.301780128213	66	24	0	42		[M+Cl]- 150.018	282													
M185T394	M185.0225T394	185.022467962977	185.022205419905	185.022873543255	393.614988563082	391.555433257499	395.07024167965	66	24	0	42		[M+Cl+NH3]- 133.036	6													
M185T314	M185.0295T314	185.029513027141	185.029187567638	185.029869111986	313.768703272255	308.797805927973	316.779615792299	41	21	0	20			210													
M185T594	M185.0457T594	185.045727742855	185.045482823691	185.04608118657	593.857867248377	591.039657414832	595.617131320805	54	17	0	37		[M-2H]2- 372.102	30													
M185T92	M185.0458T92	185.045754577086	185.045253751436	185.045908642685	92.4514137547088	90.9096415032252	92.9696286353723	5	2	3	0			198													
M185T170	M185.0484T170	185.048448693545	185.048161290446	185.048815362115	170.341995551073	169.322579192038	172.265701953046	64	23	0	41			46													
M185T440	M185.057T440	185.056987741936	185.056694082074	185.057399426457	439.739349890547	430.714336087672	441.744876429203	66	24	0	42	[167][M]-	[M-H]- 186.07	8													
M185T485	M185.057T485	185.057031017616	185.056759053201	185.057422007171	485.463936400583	480.85553889668	504.202071730809	60	20	0	39			3													
M185T187	M185.0682T187	185.068181267256	185.064918917949	185.06861286185	187.239029948361	184.630696003281	201.985311784774	55	17	0	38			19													
M185T97	M185.082T97	185.081978030523	185.081486592396	185.082349929398	97.0549309370792	90.7628309012387	115.515816606788	56	24	3	29		[M-H]- 186.089	5													
M185T592	M185.091T592	185.091001514179	185.090713998529	185.091359869755	591.807158154069	590.65776719507	592.763302519784	66	24	0	42			18													
M185T85	M185.1185T85	185.118489348916	185.118149091232	185.118853505825	85.4681927378636	84.6732530202731	88.9960519096656	67	24	1	42			11													
M185T1206	M185.155T1206	185.154955419136	185.154503522424	185.15533231958	1206.36449805291	1205.04470922813	1207.36064200141	69	24	3	42		[M-H-C4H8]- 242.223	33													
M185T83	M185.1549T83	185.154897554372	185.154471302476	185.15527844662	82.9074726860188	81.6965420907346	83.9101174404608	63	24	2	37			2													
M185T119	M185.2577T119	185.257745645738	185.257473900147	185.25839730515	118.872127033592	117.777981642293	119.633183779438	53	15	0	38			23													
M186T1007	M185.9716T1007	185.971579994778	185.971292378237	185.971941721507	1007.0147651207	996.966186668052	1009.89426150037	64	23	0	41	[166][M+1]-		13													
